spec_pixel,spec_intensity,nist_wave,nist_intensity,element
132.3649283,236.48,388,60-300,He
288.9587617,249.46,447,25-200,He
412.1908462,98.46,492,20,He
437.7643945,271.16,501,100,He
677.5521828,3106.25,588,120-500,He
908.0143522,564.74,668,200,He
1021.697778,867.6,706,20-100,He
673.712,1696.45,585.25,200,Ne
700.126,617.38,594.48,50,Ne
722.492,181.31,602.99,100,Ne
747.974,1339.68,614.3,100,Ne
775.796,290.88,621.73,100,Ne
820.02,3428.72,640.22,200,Ne
860.822,1265.04,650.65,150,Ne
886.09,419.28,659.9,100,Ne
913.44,767.24,667.82,50,Ne
982.83,635.18,692.94,1000,Ne
1013.238,834.96,705.91,100,Ne
1134.814,80.86,748.87,300,Ne
